Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos;
10/9/2024;14;Pago doble Moto;ALB;Tag - PosPago OCR;Provincia;Tag;1;
10/9/2024;14;Pago doble Moto;AVE;Tag - PosPago;Centro;Tag;2;
10/9/2024;14;Pago doble Moto;AVE;Tag - PosPago OCR;Provincia;Tag;2;
10/9/2024;14;Pago doble Moto;DEC;Tag - PosPago;Centro;Tag;1;
10/9/2024;14;Pago doble Moto;DEC;Violación - Normal;Centro;Violación;1;
10/9/2024;14;Pago doble Moto;DEL;Tag - PosPago;Provincia;Tag;1;
10/9/2024;14;Pago doble Moto;KDT;Tag - PosPago;Centro;Tag;3;
10/9/2024;14;Pago doble Moto;KDT;Tag - PosPago;Provincia;Tag;4;
10/9/2024;14;Pago doble Moto;KDT;Tag - PosPago OCR;Centro;Tag;1;
10/9/2024;14;Pago doble Moto;KDT;Tag - PosPago OCR;Provincia;Tag;2;
10/9/2024;14;Pago doble Moto;PB1;Tag - PosPago;Provincia;Tag;6;
10/9/2024;14;Pago doble Moto;PB1;Tag - PosPago OCR;Provincia;Tag;1;
10/9/2024;14;Pago doble Moto;PB2;Tag - PosPago;Centro;Tag;4;
10/9/2024;14;Pago doble Moto;PB2;Violación - Normal;Centro;Violación;1;
10/9/2024;14;Pago doble Moto;PB3;Tag - PosPago;Provincia;Tag;6;
10/9/2024;14;Pago doble Moto;PB3;Tag - PosPago OCR;Provincia;Tag;1;
10/9/2024;14;Pago doble Moto;PB4;Tag - PosPago;Centro;Tag;2;
10/9/2024;14;Pago doble Moto;PB4;Tag - PosPago OCR;Centro;Tag;1;
10/9/2024;14;Pago doble Moto;PB4;Violación - Normal;Centro;Violación;1;
10/9/2024;14;Pesados 2 Ejes;ALB;Mercado Pago;Centro;Mercado Pago;1;
10/9/2024;14;Pesados 2 Ejes;ALB;Mercado Pago OCR;Centro;Mercado Pago;2;
10/9/2024;14;Pesados 2 Ejes;ALB;Mercado Pago OCR;Provincia;Mercado Pago;2;
10/9/2024;14;Pesados 2 Ejes;ALB;Tag - PosPago;Centro;Tag;25;
10/9/2024;14;Pesados 2 Ejes;ALB;Tag - PosPago;Provincia;Tag;29;
10/9/2024;14;Pesados 2 Ejes;ALB;Tag - PosPago OCR;Centro;Tag;12;
10/9/2024;14;Pesados 2 Ejes;ALB;Tag - PosPago OCR;Provincia;Tag;18;
10/9/2024;14;Pesados 2 Ejes;ALB;Violación - Normal;Provincia;Violación;2;
10/9/2024;14;Pesados 2 Ejes;AVE;Efectivo;Centro;Efectivo;7;
10/9/2024;14;Pesados 2 Ejes;AVE;Efectivo;Provincia;Efectivo;15;
10/9/2024;14;Pesados 2 Ejes;AVE;Exento - Otros motivos;Centro;Exento;16;
10/9/2024;14;Pesados 2 Ejes;AVE;Exento - Otros motivos;Provincia;Exento;9;
10/9/2024;14;Pesados 2 Ejes;AVE;Exento - Reglamento;Centro;Exento;3;
10/9/2024;14;Pesados 2 Ejes;AVE;Exento - Reglamento;Provincia;Exento;5;
10/9/2024;14;Pesados 2 Ejes;AVE;Mercado Pago;Centro;Mercado Pago;17;
