Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos
13/3/2024;14;Pesados 2 Ejes;AVE;Exento - Otros motivos;Centro;Exento;3
13/3/2024;14;Pesados 2 Ejes;AVE;Exento - Otros motivos;Provincia;Exento;2
13/3/2024;14;Pesados 2 Ejes;AVE;Exento - Reglamento;Centro;Exento;8
13/3/2024;14;Pesados 2 Ejes;AVE;Exento - Reglamento;Provincia;Exento;8
13/3/2024;14;Pesados 2 Ejes;AVE;Mercado Pago;Centro;Mercado Pago;15
13/3/2024;14;Pesados 2 Ejes;AVE;Mercado Pago;Provincia;Mercado Pago;14
13/3/2024;14;Pesados 2 Ejes;AVE;Mercado Pago OCR;Centro;Mercado Pago;3
13/3/2024;14;Pesados 2 Ejes;AVE;Mercado Pago OCR;Provincia;Mercado Pago;3
13/3/2024;14;Pesados 2 Ejes;AVE;Paso en Infracción;Centro;Rec.Deuda;3
13/3/2024;14;Pesados 2 Ejes;AVE;Paso en Infracción;Provincia;Rec.Deuda;6
13/3/2024;14;Pesados 2 Ejes;AVE;Paso en infracción con Multa LPR;Centro;Rec.Deuda;4
13/3/2024;14;Pesados 2 Ejes;AVE;Paso en infracción con Multa LPR;Provincia;Rec.Deuda;1
13/3/2024;14;Pesados 2 Ejes;AVE;Tag - Exento;Centro;Tag;1
13/3/2024;14;Pesados 2 Ejes;AVE;Tag - PosPago;Centro;Tag;208
13/3/2024;14;Pesados 2 Ejes;AVE;Tag - PosPago;Provincia;Tag;228
13/3/2024;14;Pesados 2 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;49
13/3/2024;14;Pesados 2 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;72
13/3/2024;14;Pesados 2 Ejes;AVE;Violación - Normal;Provincia;Violación;1
13/3/2024;14;Pesados 2 Ejes;DEC;Efectivo;Centro;Efectivo;3
13/3/2024;14;Pesados 2 Ejes;DEC;Exento - Otros motivos;Centro;Exento;6
13/3/2024;14;Pesados 2 Ejes;DEC;Exento - Reglamento;Centro;Exento;9
13/3/2024;14;Pesados 2 Ejes;DEC;Mercado Pago;Centro;Mercado Pago;7
13/3/2024;14;Pesados 2 Ejes;DEC;Mercado Pago OCR;Centro;Mercado Pago;2
13/3/2024;14;Pesados 2 Ejes;DEC;Paso a facturar - (colectivo);Centro;Rec.Deuda;2
