indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2019-03-01,51065.69425464903,24647.680742226563,51065694.25465001,50347782.683160014,717911.5714899999,51065694.25465001,17737278.503999993,13685678.100496195,17969551.879616998,1673185.7705400004,51065694.25465001,35639253.946419,5901419.921098999,13664374.994760007,1863315.83183,5729158.05844,6187148.573530001,1733045.15744,560791.4093200001,7753557.686829997,1250658.57433,2294642.2698899982,4127581.7771800016
2019-04-01,49621.40927512204,23073.755385152883,49621409.275120035,48939565.17114004,681844.1039799999,49621409.275120035,17102015.742659997,13152280.506070001,17736333.211400002,1630779.8149899996,49621409.275120035,35631833.000382,5437459.685239999,14448162.663839998,1961842.2602000001,5754857.497710002,5891682.426951998,1598053.8844299999,539774.5820100001,7347464.876629998,1179040.51368,2005702.65693,3457368.227500002
2019-05-01,50778.299914400006,22852.143404939907,50778299.914400004,49813853.04009,964446.87431,50778299.914400004,17247751.268843994,13838777.255979998,18013021.917039998,1678749.47254,50778299.914400004,35586722.001449995,5258910.247739997,14391198.419049995,1910340.61452,6223354.017650002,5732375.989020002,1526614.2530900007,543928.4603799997,7602583.365409999,1504788.00793,2486484.8315200005,3597721.7080900003
2019-06-01,54413.41961482001,23803.413179689967,54413419.61482,53591716.25316001,821703.3616599999,54413419.61482,17995550.11326,15507030.32112,19225537.23247,1685301.94797,54413419.61482,37819361.44686,5602884.226260004,15319207.314880004,2072217.13306,6642410.276169999,6000958.161809999,1591347.412330001,590336.9223500001,8048845.872799999,1826746.7113700002,2810683.08287,3907782.50092
2019-07-01,55044.48225731951,23580.072634934764,55044482.25732,54121341.62436,923140.6329600001,55044482.25732,18548992.456090007,15609905.912700001,19194608.053610004,1690975.8349200003,55044482.25732,38131665.01202951,5612874.21778,15602920.266189998,2119480.4736700007,6625542.260160002,5890360.284974002,1696455.0968254996,584032.4124300003,7868920.346770002,1715793.1016499999,3030760.22102,4297343.575850001
2019-08-01,59672.10445566601,24329.91041230039,59672104.45567001,58647926.47731001,1024177.9783600001,59672104.45567001,19745340.249500003,16044555.337071996,21781404.017981987,2100804.8511199993,59672104.45567001,41692727.53486599,6069725.943820001,17125415.366779994,2205098.44878,7351482.511229999,6419554.861526002,1903751.8360300001,617698.5667000002,8632826.213409996,1208097.67593,3073567.951339999,5064885.08012
2019-09-01,57885.30640686599,22144.650616311803,57885306.406869985,56887830.18007998,997476.22679,57885306.406869985,19561438.284749985,15872044.54628,20612694.849708993,1839128.7261300003,57885306.406869985,41090401.956106,6372597.213819997,16428217.441940008,2192061.5761300004,7182926.619359996,6359574.893425996,1949185.8583900002,605838.3530400002,8902170.017649997,1202878.6177499997,2719800.95723,3970054.858129998
2019-10-01,66325.57959367818,24652.71442386198,66325579.59368,65144928.115430005,1180651.47825,66325579.59368,21884744.730451003,17749686.58293429,24432918.572433,2258229.7078618007,66325579.59368,45492474.30343828,7475899.072497,17942183.893732585,2403879.6151702004,7900014.451017999,6957491.715031802,2143017.1776677,669988.3783209999,10075045.155853303,1410451.3561100003,4712825.327800001,4634783.4504766
2019-11-01,67943.71018742798,24270.7041203352,67943710.18743,66454203.742079996,1489506.4453500002,67943710.18743,22763201.5517,16506702.373734001,26455726.00132099,2218080.2606699998,67943710.18743,46073845.36260801,8816995.300790003,17296630.38648,2337204.0210099993,7523217.5873300005,7072708.039418003,2347744.245760001,679345.7818199997,10247962.264920006,1572523.6138899997,4829969.16318,5219409.782830002
2019-12-01,83524.644291502,29147.85103469526,83524644.2915,82246180.67768,1278463.61382,83524644.2915,27960470.497710004,21105019.72176601,31600065.928096,2859088.143929999,83524644.2915,57646427.957712,13299621.479150005,20776781.416309997,2985037.6998099997,7985919.655519997,8877286.116902003,2838731.6730999993,883049.9169199999,11316019.271300009,2197595.46859,4638017.9133,7726583.680600004
2020-01-01,70145.01027272303,23483.345683378706,70145010.27273001,69104127.61199,1040882.66074,70145010.27273001,25121140.424074013,16421681.807168407,26279836.484293897,2322351.5571899996,70145010.27273001,47496667.89030301,8727149.313199999,17489114.378610004,2513045.890880001,7612363.147730004,7726181.492612999,2685147.64368,743666.0235899996,11066696.534919994,1775180.1644500003,3768285.2241500006,6038180.4589
2020-02-01,72494.433661744,23702.013147622165,72494433.66173999,71514175.14700998,980258.5147299999,72494433.66173999,23982883.637197025,18677850.857655,27241035.986254998,2592663.180630001,72494433.66173999,50272765.354984015,8876881.393720001,18718680.521820012,2642994.222749998,8169113.796010004,8316318.598123999,2778662.821100001,770114.0014599998,10866053.983480006,1867271.73628,3407081.4500799985,6081261.13692
2020-03-01,85778.03108881999,26996.659534813563,85778031.08881997,84174875.51342997,1603155.5753900001,85778031.08881997,26532575.533931985,22420795.889567308,33716809.20248102,3107850.4628399997,85778031.08881997,61417479.25103002,8284935.992699999,26179704.492430013,2954223.1747500007,10540220.755720006,9503388.959340008,3248772.943099998,706232.93299,14387138.382409992,1048525.3074199999,3460494.399360001,5464393.748599999
2020-04-01,75009.59663855402,23142.654714237968,75009596.63855001,71798954.70953001,3210641.9290200006,75009596.63855001,22263621.147818018,20850415.685067005,28559526.139535002,3336033.66613,75009596.63855001,54905216.88272001,7039345.747440004,23511297.23490001,2723790.4688799987,9518952.15604,8667536.044389999,2981509.85425,462785.37682,10786534.828350004,1071185.00366,3758966.1006599986,4487693.823164
2020-05-01,78594.52182045302,24012.676328922764,78594521.82045001,74966605.02587001,3627916.7945800005,78594521.82045001,24917663.393409997,19703362.398560006,29750672.202390008,4222823.82609,78594521.82045001,54285024.123542,7437048.07729,22865786.669689998,2588780.4740709993,9450381.786705,8676036.988140006,2771794.5182680003,495195.6093780001,11160547.922520002,2199429.0915410006,5705563.464840001,5243957.218010003
2020-06-01,78232.85960185598,23449.543028817643,78232859.60185996,74554853.95878996,3678005.64307,78232859.60185996,24031410.143659983,20569940.21072799,29332592.009099998,4298917.23837,78232859.60185996,53685318.32828699,7839895.916119998,22614018.901164997,2512756.0308870007,9239346.590982998,8376343.244301998,2610763.010297,492194.6345329999,10828484.987,2556936.805371999,5726204.195700002,5435915.2854969995
2020-07-01,81140.69622145995,23791.36751520022,81140696.22145997,76413721.76438998,4726974.45707,81140696.22145997,24935747.285053004,22143208.629241403,29569224.40345899,4492515.9037,81140696.22145997,55359666.66118001,8048539.859389998,23393038.40763,2630487.7910100017,9592798.115190003,8463266.122629998,2712593.8277300005,518942.5376,11217153.18945,2502616.618500001,6125265.839210001,5935993.913119999
2020-08-01,80411.97328758003,22953.005491091488,80411973.28758001,76406528.27118002,4005445.0164,80411973.28758001,24868416.64602999,21188270.691566993,29644413.805833004,4710872.144150001,80411973.28758001,55526501.796220005,8262233.87684,22891446.999150004,2684429.9927800004,9681663.082899999,8611272.961889995,2842695.03008,552759.8525800002,11365760.88953999,1651664.5783599995,5086198.9515400035,6781847.071919998
2020-09-01,77055.77435700996,21628.031776779153,77055774.35700998,73111415.16161998,3944359.19539,77055774.35700998,24268469.258773003,20660854.9840306,27583639.698399987,4542810.41581,77055774.35700998,53998395.65966003,8164340.136140003,22018485.44868001,2574722.638590001,9349357.228210004,8411476.0623,2932524.240359999,547489.9053800001,11089691.915189998,1599708.8727500006,4776635.481509998,5591342.427899999
2020-10-01,89224.28105372799,24095.3382187538,89224281.05372998,84622602.74864998,4601678.305080001,89224281.05372998,27348110.49728398,23565536.115426205,33253696.394518994,5056938.0465,89224281.05372998,60214691.69720799,9900033.945949998,23772929.584499992,2819496.84264,10152813.64101,9440006.039747994,3508831.9935000013,620579.6498599999,12442138.224310005,1961731.83342,8080339.485749998,6525379.813039998
2020-11-01,91093.50731224002,24010.693725993668,91093507.31223996,86255330.60578996,4838176.70645,91093507.31223996,28832513.453409992,23551887.32882601,33470452.079113003,5238654.45089,91093507.31223996,60913255.91404001,11401050.50442,23577259.621930003,2712393.486839999,9625513.23871,9366000.915110003,3600215.4410800016,630822.7059500002,12606465.75472,2071758.2335799995,7962443.790279999,7539583.61962
2020-12-01,115806.12811517663,29931.10446415699,115806128.11518,111830218.56443,3975909.5507499995,115806128.11518,36284788.051380016,31300615.016610008,41558670.65363998,6662054.393548,115806128.11518,80643208.29840657,19000862.430732105,29052388.41279858,3568526.3015100015,10374402.289709996,13502805.475349994,4262746.599545901,881476.7887600001,14197119.00349,3022975.1977700004,7711912.07514,10230913.540370006
