indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2007-02-01,112.74324828605302,124.36018451370462,124.08959872423839,0.08313094293619101,0.018698408833864876,0.007538270515204033
2007-03-01,129.28276498944658,126.45405983890856,125.02403542136294,0.09018166769196398,0.0168371841308516,0.007530338616060277
2007-04-01,133.46308313008805,125.17547532018294,125.96188707174544,0.093179174117832,-0.010111059465820488,0.0075013708141933935
2007-05-01,147.60791074167543,127.32831718972265,126.89943009279311,0.10674654455371253,0.017198591529475067,0.007443069033362945
2007-06-01,136.12098630494512,128.59863155037846,127.83496066316856,0.09516435003605835,0.009976683809957336,0.0073722204244050715
2007-07-01,127.38755189795539,127.72180730189848,128.76377470385623,0.08835801798541866,-0.006818301547295107,0.007265727903143784
2007-08-01,126.59522767863001,128.99721035309588,129.67937200440352,0.08848925568179339,0.009985789256667061,0.00711067458726717
2007-09-01,123.5104632944452,129.63843368644638,130.5733885439832,0.07585187128300092,0.004970831009409693,0.006894053585864981
2007-10-01,128.41538266104467,131.2934247066203,131.4333760326139,0.10249081206170445,0.012766206541624995,0.006586238576024925
2007-11-01,129.73508945617357,132.76786980517875,132.24275031070192,0.09813975273371427,0.011230151866730154,0.006158057431981234
2007-12-01,128.89792837498598,134.0484586179056,132.9777828045752,0.07771329248497366,0.009645321677646592,0.005558206345121874
2008-01-01,126.22689251081431,135.34058717737565,133.60964993712514,0.10047907894835831,0.0096392645823191,0.004751674446839899
2008-02-01,122.8249045091645,133.45276210828325,134.10496351657827,0.08942137446255075,-0.013948698675425674,0.0037071692028698066
2008-03-01,132.33412728743554,132.81433528654483,134.42639668644452,0.023602235752291135,-0.0047839161337132905,0.0023968775013052833
2008-04-01,145.28049855207212,135.91001433050172,134.54079708041095,0.08854445098099134,0.023308320124315003,0.0008510262625969745
2008-05-01,154.15616391286648,134.8562846469455,134.42115141401126,0.044362481240256525,-0.007753142318076698,-0.0008892891152427751
2008-06-01,140.50348421669764,133.22215563072072,134.05158365700777,0.03219560797138683,-0.012117559226126957,-0.002749327416972136
2008-07-01,136.63868805371584,135.45657986688605,133.43275546152952,0.07262197929018327,0.016772166953662973,-0.004616343787937751
2008-08-01,131.34092143552698,135.90515427608986,132.58103821886743,0.03748714579465997,0.003311573418173026,-0.00638311964491848
2008-09-01,132.18593848988462,135.99646216939524,131.53193495016734,0.07024081170157487,0.0006718501133511268,-0.007912920903275875
2008-10-01,130.39517884255912,132.73642838271934,130.33926677399162,0.015417126363592786,-0.02397146024736472,-0.009067517912114482
2008-11-01,125.52756329262156,130.28907967811344,129.07147367094413,-0.032431674277091954,-0.0184376567489781,-0.009726869994181016
2008-12-01,123.46600579407662,124.90052356134964,127.80442226168624,-0.04214127138728699,-0.041358463273180913,-0.009816664931618533
2009-01-01,116.75841920206521,124.26882092006338,126.62323850826056,-0.07501153771917429,-0.005057646063236803,-0.009242119580237613
2009-02-01,114.85886148592792,125.96441819659358,125.60946687140222,-0.06485690385895808,0.01364459133012062,-0.008006205249537999
2009-03-01,126.16560261026108,123.31579478484534,124.83300416668776,-0.046613256939958915,-0.021026758585226162,-0.006181561979794026
2009-04-01,127.9905588745035,121.73008484462166,124.34434404129246,-0.11901074025686569,-0.012858936221352195,-0.003914510658918288
