,p,i,q,P,I,Q,AIC
0,1,1,2,1,0,1,3903.7514593692063
0,1,1,2,1,0,2,3908.737157318435
0,1,1,2,1,0,3,3899.363941376236
0,1,1,2,2,0,0,3959.045302848057
0,1,1,2,2,0,1,3897.5027301368696
0,1,1,2,2,0,2,3910.4834894856203
0,1,1,2,2,0,3,3912.542106776804
0,1,1,2,3,0,0,3937.7965785488414
0,1,1,2,3,0,1,3910.009446534962
0,1,1,2,3,0,2,inf
0,1,1,2,3,0,3,3892.9982088860684
0,1,1,3,0,0,0,4156.668491666208
0,1,1,3,0,0,1,4061.955105038387
0,1,1,3,0,0,2,4029.38225489216
0,1,1,3,0,0,3,4011.520086393617
0,1,1,3,1,0,0,3981.672308315385
0,1,1,3,1,0,1,4014.2293720797575
0,1,1,3,1,0,2,3950.489053587382
0,1,1,3,1,0,3,122.29728313860222
0,1,1,3,2,0,0,3959.975055859507
0,1,1,3,2,0,1,3962.632334218403
0,1,1,3,2,0,2,3910.6921185697515
0,1,1,3,2,0,3,32.114715557624116
0,1,1,3,3,0,0,3941.0029639086006
0,1,1,3,3,0,1,3953.135184152961
0,1,1,3,3,0,2,inf
0,1,1,3,3,0,3,3923.7524090110032
0,2,1,0,0,0,0,4257.175723790395
0,2,1,0,0,0,1,4157.856247123013
0,2,1,0,0,0,2,4113.754568568238
0,2,1,0,0,0,3,4083.953001264044
0,2,1,0,1,0,0,4057.836623607683
0,2,1,0,1,0,1,3943.9595092241634
0,2,1,0,1,0,2,3943.2163030372362
0,2,1,0,1,0,3,3945.161297477629
0,2,1,0,2,0,0,4013.78099842396
0,2,1,0,2,0,1,3942.920884456097
0,2,1,0,2,0,2,inf
0,2,1,0,2,0,3,3950.291162372201
0,2,1,0,3,0,0,3988.4280564945248
0,2,1,0,3,0,1,3944.9443209053234
0,2,1,0,3,0,2,4033.5287755687204
0,2,1,0,3,0,3,3940.0020523650333
0,2,1,1,0,0,0,4155.530138333028
0,2,1,1,0,0,1,4066.7068446296503
0,2,1,1,0,0,2,4040.29372719956
0,2,1,1,0,0,3,4016.8261051214577
0,2,1,1,1,0,0,3991.1874799655475
0,2,1,1,1,0,1,3897.9588703770905
0,2,1,1,1,0,2,3964.159183336926
0,2,1,1,1,0,3,3974.361900623146
0,2,1,1,2,0,0,3960.8154046040554
0,2,1,1,2,0,1,3919.378921574197
0,2,1,1,2,0,2,3927.40209315251
0,2,1,1,2,0,3,3948.559446161431
0,2,1,1,3,0,0,3941.703886704338
0,2,1,1,3,0,1,3927.5153384596556
0,2,1,1,3,0,2,3966.586305157326
0,2,1,1,3,0,3,3906.8985839645175
0,2,1,2,0,0,0,4137.68624860668
0,2,1,2,0,0,1,4068.714794976987
0,2,1,2,0,0,2,4034.910025486194
0,2,1,2,0,0,3,4010.3377699020325
0,2,1,2,1,0,0,3985.4682980141442
0,2,1,2,1,0,1,3899.671140570181
0,2,1,2,1,0,2,3924.3880078064726
0,2,1,2,1,0,3,3943.8246375485605
0,2,1,2,2,0,0,3961.9257946760254
