fechas,incendios,precipitaciones,rain
8/1/2015,4.564,33.05014245,1.143779677
9/1/2015,5.882,33.61789687,0.851971689
10/1/2015,2.494,33.2743083,1.580237154
11/1/2015,1.054,33.13031761,1.990856593
12/1/2015,565,32.77654214,2.47141616
1/1/2016,770,32.70351803,2.453825858
2/1/2016,275,32.54510686,3.331608549
3/1/2016,140,32.32683438,4.172222222
4/1/2016,22,32.32795699,3.786344086
5/1/2016,30,32.31096033,2.848538622
6/1/2016,90,32.25263736,2.235164835
7/1/2016,1.137,32.69234973,1.848306011
8/1/2016,3.611,32.98476684,1.296062176
9/1/2016,3.119,32.81612515,1.824308063
10/1/2016,2.105,32.90480296,2.58817734
11/1/2016,591,32.71897655,2.520682303
12/1/2016,133,32.26730564,4.097337593
1/1/2017,65,32.05894263,4.807986502
2/1/2017,52,32.13944316,4.726798144
3/1/2017,45,32.1989449,4.493434936
4/1/2017,20,32.29692982,3.922697368
5/1/2017,40,32.46652807,2.702806653
6/1/2017,119,32.31218487,2.009348739
7/1/2017,1.975,32.37552966,1.765677966
8/1/2017,6.316,32.92100213,1.234008529
9/1/2017,4.033,32.62680628,1.920314136
10/1/2017,1.581,32.53952528,2.63374613
11/1/2017,552,32.44518828,2.980439331
